Id,P-GA,P-GA90,P-SoTA,P-Saves,P-Save%,P-W,P-D,P-L,P-CS,P-CS%,PK-PKatt,PK-PKA,PK-PKsv,PK-PKm,PK-Save%
98ea5115,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3
466fb2c5,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,
